狀態,週次,題號,UVA ID,ZJ ID,總字數,敘述字數,輸入字數,輸出字數,缺失欄位,ZJ連結,UVA連結
⚠️ 待補充,W03,10035,10035,a028,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a028,https://uva.onlinejudge.org/external/10035.pdf
⚠️ 待補充,W03,10038,10038,a031,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a031,https://uva.onlinejudge.org/external/10038.pdf
⚠️ 待補充,W04,10050,10050,a043,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a043,https://uva.onlinejudge.org/external/10050.pdf
⚠️ 待補充,W04,10056,10056,a049,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a049,https://uva.onlinejudge.org/external/10056.pdf
⚠️ 待補充,W04,10057,10057,a050,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a050,https://uva.onlinejudge.org/external/10057.pdf
⚠️ 待補充,W06,10170,10170,a163,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a163,https://uva.onlinejudge.org/external/10170.pdf
⚠️ 待補充,W07,10221,10221,a214,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a214,https://uva.onlinejudge.org/external/10221.pdf
⚠️ 待補充,W10,10409,10409,a402,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a402,https://uva.onlinejudge.org/external/10409.pdf
⚠️ 待補充,W10,10415,10415,a408,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a408,https://uva.onlinejudge.org/external/10415.pdf
⚠️ 待補充,W10,10420,10420,a413,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a413,https://uva.onlinejudge.org/external/10420.pdf
⚠️ 待補充,W10,10642,10642,a635,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a635,https://uva.onlinejudge.org/external/10642.pdf
⚠️ 待補充,W10,10783,10783,a776,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a776,https://uva.onlinejudge.org/external/10783.pdf
⚠️ 待補充,W11,10812,10812,a805,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a805,https://uva.onlinejudge.org/external/10812.pdf
⚠️ 待補充,W11,10908,10908,a901,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a901,https://uva.onlinejudge.org/external/10908.pdf
⚠️ 待補充,W11,10929,10929,a922,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a922,https://uva.onlinejudge.org/external/10929.pdf
⚠️ 待補充,W11,10931,10931,a924,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a924,https://uva.onlinejudge.org/external/10931.pdf
⚠️ 待補充,W12,11005,11005,a998,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=a998,https://uva.onlinejudge.org/external/11005.pdf
⚠️ 待補充,W13,11417,11417,b410,,,,,全部,https://zerojudge.tw/ShowProblem?problemid=b410,https://uva.onlinejudge.org/external/11417.pdf
◐ 部分填充,W02,490,490,,219,58,144,17,輸出,,
◐ 部分填充,W03,10008,10008,,106,78,13,15,"輸入,輸出",,
◐ 部分填充,W03,10019,10019,,182,100,46,36,"輸入,輸出",,
◐ 部分填充,W04,10041,10041,,95,44,28,23,"敘述,輸入,輸出",,
◐ 部分填充,W04,10055,10055,,429,197,178,54,,,
