UVA_ID,Current_Week,Suggested_Week,Title,Keywords,Estimated_Difficulty,Content_Length
100,2,6,題目 100,graph,Medium,827
118,2,10,題目 118,,Medium-Hard,1165
272,2,10,題目 272,string,Medium-Hard,1164
299,2,6,題目 299,greedy,Medium,771
490,2,2,題目 490,,Easy,482
10008,3,3,題目 10008,,Easy,373
10019,3,3,題目 10019,,Easy,449
10035,3,6,題目 10035,,Medium,634
10038,3,6,題目 10038,,Medium,634
948,3,6,題目 948,,Medium,859
10041,4,4,題目 10041,,Easy,362
10050,4,6,題目 10050,,Medium,634
10055,4,6,題目 10055,,Medium,696
10056,4,6,題目 10056,,Medium,634
10057,4,6,題目 10057,,Medium,634
10062,6,12,題目 10062,geometry|math|sort,Hard,1617
10071,6,6,題目 10071,geometry|hash|math|search,Medium,604
10093,6,6,題目 10093,,Medium,792
10101,6,6,題目 10101,,Medium,781
10170,6,6,題目 10170,,Medium,634
10189,7,12,題目 10189,,Hard,1664
10190,7,10,題目 10190,,Medium-Hard,1089
10193,7,7,題目 10193,,Medium,685
10221,7,7,題目 10221,,Medium,634
10222,7,7,題目 10222,,Easy,440
10226,9,10,題目 10226,dynamic|graph|search,Medium-Hard,539
10235,9,9,題目 10235,,Medium,739
10242,9,9,題目 10242,,Medium,941
10252,9,12,題目 10252,,Hard,1938
10268,9,9,題目 10268,,Medium,751
10409,10,10,題目 10409,,Medium,634
10415,10,10,題目 10415,,Medium,634
10420,10,10,題目 10420,,Medium,634
10642,10,10,題目 10642,,Medium,634
10783,10,10,題目 10783,,Medium,634
10812,11,11,題目 10812,,Medium,634
10908,11,11,題目 10908,,Medium,634
10922,11,11,題目 10922,,Easy,412
10929,11,11,題目 10929,,Medium,634
10931,11,11,題目 10931,,Medium,634
11005,12,12,題目 11005,,Medium,634
11063,12,12,題目 11063,,Medium,943
11150,12,12,題目 11150,,Medium,766
11321,12,12,題目 11321,,Medium,993
11332,12,12,題目 11332,,Medium,612
11349,13,13,題目 11349,,Medium,635
11417,13,13,題目 11417,,Medium,634
11461,13,13,題目 11461,,Easy,376
12019,13,13,題目 12019,,Easy,413
